(1, 3, 1, 30, 45,632227.88, NULL, False),
(2, 13, 1, 99, 109,960146.69, NULL, False),
(3, 14, 28, 99, 110,750744.12, NULL, False),
(4, 8, 28, 57, 70,972802.08, NULL, False),
(5, 12, 55, 92, 105,732280.62, NULL, False),
(6, 7, 55, 85, 93,145210.04, NULL, False),
(7, 5, 2, 70, 83,860292.29, NULL, False),
(8, 3, 2, 39, 46,477293.62, NULL, False),
(9, 11, 29, 54, 59,980794.61, NULL, False),
(10, 13, 29, 46, 53,227075.62, NULL, False),
(11, 5, 56, 90, 105,827604.3, NULL, False),
(12, 14, 56, 57, 62,718444.13, NULL, False),
(13, 14, 3, 37, 46,384497.47, NULL, True),
(14, 10, 3, 75, 89,856137.32, NULL, True),
(15, 8, 30, 79, 87,712966.14, NULL, True),
(16, 4, 30, 81, 89,995529.28, NULL, True),
(17, 11, 57, 30, 42,317780.09, NULL, True),
(18, 13, 57, 100, 107,339115.68, NULL, True),
(19, 13, 4, 90, 97,697317.94, NULL, True),
(20, 1, 4, 54, 69,554355.2, NULL, True),
(21, 3, 31, 39, 47,582285.26, NULL, True),
(22, 7, 31, 42, 47,727474.06, NULL, True),
(23, 3, 58, 59, 72,139510.08, NULL, True),
(24, 6, 58, 94, 102,709320.43, NULL, True),
(25, 1, 5, 39, 47,856909.09, NULL, False),
(26, 14, 5, 51, 64,109927.4, NULL, False),
(27, 6, 32, 94, 106,628572.54, NULL, False),
(28, 12, 32, 92, 106,598121.99, NULL, False),
(29, 3, 59, 54, 64,359971.0, NULL, False),
(30, 11, 59, 52, 66,375456.31, NULL, False),
(31, 5, 6, 76, 89,774868.99, NULL, True),
(32, 5, 6, 78, 90,778830.47, NULL, True),
(33, 12, 33, 74, 82,766585.95, NULL, True),
(34, 7, 33, 72, 83,288390.08, NULL, True),
(35, 5, 60, 87, 94,243404.67, NULL, True),
(36, 9, 60, 36, 47,216939.95, NULL, True),
(37, 6, 7, 60, 72,975260.43, NULL, True),
(38, 9, 7, 46, 53,912520.18, NULL, True),
(39, 10, 34, 55, 64,235163.67, NULL, True),
(40, 3, 34, 87, 102,257527.88, NULL, True),
(41, 8, 61, 78, 87,266099.41, NULL, True),
(42, 9, 61, 56, 68,856921.09, NULL, True),
